city,state,YearMonth,AT,BP,PM2.5,RF,VWS,WD,WS,latitude,longitude
Chhapra,Bihar,2023-12,19.25223041798384,,141.49320943531094,0.005096660808435852,,166.0972746331237,0.8893459915611767,25.7808257,84.7446768
Chikkaballapur,Karnataka,2023-01,19.508551068883552,712.240257539817,53.475671997277985,,,193.6657627118644,,13.428828,77.731418
Chikkaballapur,Karnataka,2023-02,21.942306252339858,711.9289719626169,55.157510564733,,,175.22317757009347,,13.428828,77.731418
Chikkaballapur,Karnataka,2023-03,23.918588399720456,710.7213687150838,35.62663085188028,,,197.69518156424581,,13.428828,77.731418
Chikkaballapur,Karnataka,2023-04,26.292765042979887,709.2385190459238,33.30245331380447,,,204.32360270558917,,13.428828,77.731418
Chikkaballapur,Karnataka,2023-05,26.836357039187245,708.8379888268156,21.58233082706767,,,160.98249534450653,,13.428828,77.731418
Chikkaballapur,Karnataka,2023-06,25.121943348870477,707.3240043057051,12.418272937548188,,,133.0172228202368,,13.428828,77.731418
Chikkaballapur,Karnataka,2023-07,22.483729619565263,708.104800540906,7.588748019017433,,,132.15753887762003,,13.428828,77.731418
Chikkaballapur,Karnataka,2023-08,24.371553228621234,708.171601615074,13.20834959032384,,,139.03028263795423,,13.428828,77.731418
Chikkaballapur,Karnataka,2023-09,23.194030433086194,707.5686503306107,16.675690607734808,,,132.8094126798911,,13.428828,77.731418
Chikkaballapur,Karnataka,2023-10,24.013789398280853,711.1458258688642,49.41525103812759,,,172.31744894303117,,13.428828,77.731418
Chikkaballapur,Karnataka,2023-11,22.042899739098036,711.8258280610346,35.750977835723596,,,187.48771407297096,,13.428828,77.731418
Chikkaballapur,Karnataka,2023-12,20.80971210544583,712.3206106870228,43.356622998544395,,,176.92192921582236,,13.428828,77.731418
Chikkamagaluru,Karnataka,2023-01,20.454319164265097,851.5479121670269,20.797566016073496,0.0,,,,13.328028,75.797056
Chikkamagaluru,Karnataka,2023-02,21.892600536192976,851.2091923248543,27.561764155357988,0.0,,,,13.328028,75.797056
Chikkamagaluru,Karnataka,2023-03,22.39592469545959,849.6397714706962,20.85299651567938,0.0,,,,13.328028,75.797056
Chikkamagaluru,Karnataka,2023-04,23.131331533963134,847.9377917414718,19.293017121702896,0.0018150388936905792,,,,13.328028,75.797056
Chikkamagaluru,Karnataka,2023-05,22.969913156752128,847.6655830082381,17.152308037718896,0.005068550062318237,,,,13.328028,75.797056
Chikkamagaluru,Karnataka,2023-06,21.875791260076415,846.7978362324997,7.841119708693679,0.0011536876802637002,,,,13.328028,75.797056
Chikkamagaluru,Karnataka,2023-07,20.72487903225808,847.1367297623837,8.531878481012647,0.0022178988326848246,,,,13.328028,75.797056
Chikkamagaluru,Karnataka,2023-08,21.37087786259548,848.5431779661013,13.203358962037482,8.153281695882594e-05,,,,13.328028,75.797056
Chikkamagaluru,Karnataka,2023-09,21.214892555640887,847.826495398773,12.727575875486393,0.00041291291291291294,,,,13.328028,75.797056
Chikkamagaluru,Karnataka,2023-10,21.805394272263595,849.7297530380253,26.163347386171946,0.0,,,,13.328028,75.797056
Chikkamagaluru,Karnataka,2023-11,21.51915975885461,849.3702936746965,19.311868088467605,0.0,,,,13.328028,75.797056
Chikkamagaluru,Karnataka,2023-12,20.975630403458258,850.0953220582961,23.985038372985382,0.0,,,,13.328028,75.797056
Chittoor,Andhra Pradesh,2023-01,22.345341144038585,893.6232123799355,25.78156099241898,0.0,-0.12431771192281199,131.83679186767753,2.7762026188835276,13.20488,79.097889
